image_path,filename_base,human_x1,human_y1,human_x2,human_y2,weapon_x1,weapon_y1,weapon_x2,weapon_y2,label_original,label
data/Training_Dataset/images/Commander+Hamilton+gun+rifle+scenes_54.png,Commander+Hamilton+gun+rifle+scenes_54.png,56,113,172,249,5,3,170,279,1,1
data/Training_Dataset/images/Commander+Hamilton+gun+rifle+scenes_51.png,Commander+Hamilton+gun+rifle+scenes_51.png,181,327,1873,1092,1279,393,2047,1093,1,1
data/Training_Dataset/images/Commander+Hamilton+gun+rifle+scenes_50.png,Commander+Hamilton+gun+rifle+scenes_50.png,74,160,507,419,59,0,488,812,1,1
data/Training_Dataset/images/Commander+Hamilton+gun+rifle+scenes_41.png,Commander+Hamilton+gun+rifle+scenes_41.png,25,71,240,219,138,40,701,918,1,1
data/Training_Dataset/images/Commander+Hamilton+gun+rifle+scenes_33.png,Commander+Hamilton+gun+rifle+scenes_33.png,76,117,309,215,67,9,267,254,1,1
data/Training_Dataset/images/Commander+Hamilton+gun+rifle+scenes_27.png,Commander+Hamilton+gun+rifle+scenes_27.png,176,82,358,237,217,0,472,251,1,1
data/Training_Dataset/images/Commander+Hamilton+gun+rifle+scenes_26.png,Commander+Hamilton+gun+rifle+scenes_26.png,174,373,1147,627,70,26,898,626,1,1
data/Training_Dataset/images/Commander+Hamilton+gun+rifle+scenes_17.png,Commander+Hamilton+gun+rifle+scenes_17.png,308,29,548,250,267,22,507,246,1,1
data/Training_Dataset/images/Commander+Hamilton+gun+rifle+scenes_16.png,Commander+Hamilton+gun+rifle+scenes_16.png,186,33,424,250,17,1,454,250,1,1
data/Training_Dataset/images/Commander+Hamilton+gun+rifle+scenes_1.png,Commander+Hamilton+gun+rifle+scenes_1.png,101,78,528,202,227,7,595,250,1,1
data/Training_Dataset/images/Collide+gun+rifle+scenes_90.png,Collide+gun+rifle+scenes_90.png,48,183,618,354,0,42,395,456,1,1
data/Training_Dataset/images/Collide+gun+rifle+scenes_9.png,Collide+gun+rifle+scenes_9.png,258,499,1290,965,127,22,857,1077,1,1
data/Training_Dataset/images/Collide+gun+rifle+scenes_76.png,Collide+gun+rifle+scenes_76.png,58,46,537,257,0,0,356,274,1,1
data/Training_Dataset/images/Collide+gun+rifle+scenes_74.png,Collide+gun+rifle+scenes_74.png,753,484,839,656,651,0,1085,798,1,1
data/Training_Dataset/images/Collide+gun+rifle+scenes_74.png,Collide+gun+rifle+scenes_74.png,753,484,839,656,403,109,518,355,2,0
data/Training_Dataset/images/Collide+gun+rifle+scenes_74.png,Collide+gun+rifle+scenes_74.png,753,484,839,656,483,110,579,355,2,0
data/Training_Dataset/images/Collide+gun+rifle+scenes_74.png,Collide+gun+rifle+scenes_74.png,753,484,839,656,318,117,433,353,2,0
data/Training_Dataset/images/Collide+gun+rifle+scenes_68.png,Collide+gun+rifle+scenes_68.png,141,108,416,176,94,26,343,254,1,1
data/Training_Dataset/images/Collide+gun+rifle+scenes_66.png,Collide+gun+rifle+scenes_66.png,23,147,647,242,0,80,365,446,1,1
data/Training_Dataset/images/Collide+gun+rifle+scenes_6.png,Collide+gun+rifle+scenes_6.png,101,209,346,300,36,35,260,371,1,1
data/Training_Dataset/images/Collide+gun+rifle+scenes_50.png,Collide+gun+rifle+scenes_50.png,279,490,449,621,591,35,992,629,2,0
data/Training_Dataset/images/Collide+gun+rifle+scenes_50.png,Collide+gun+rifle+scenes_50.png,279,490,449,621,114,74,592,618,1,1
data/Training_Dataset/images/Collide+gun+rifle+scenes_4.png,Collide+gun+rifle+scenes_4.png,139,56,419,122,46,26,311,308,1,1
data/Training_Dataset/images/Collide+gun+rifle+scenes_4.png,Collide+gun+rifle+scenes_4.png,139,56,419,122,350,64,365,85,1,1
data/Training_Dataset/images/Collide+gun+rifle+scenes_4.png,Collide+gun+rifle+scenes_4.png,139,56,419,122,325,63,341,80,2,0
data/Training_Dataset/images/Collide+gun+rifle+scenes_33.png,Collide+gun+rifle+scenes_33.png,88,185,449,308,81,7,455,386,1,1
data/Training_Dataset/images/Collide+gun+rifle+scenes_2.png,Collide+gun+rifle+scenes_2.png,237,244,286,320,211,65,377,400,1,1
data/Training_Dataset/images/Collide+gun+rifle+scenes_2.png,Collide+gun+rifle+scenes_2.png,237,244,286,320,77,115,125,204,2,0
data/Training_Dataset/images/Collide+gun+rifle+scenes_2.png,Collide+gun+rifle+scenes_2.png,237,244,286,320,113,112,153,203,2,0
data/Training_Dataset/images/Collide+gun+rifle+scenes_2.png,Collide+gun+rifle+scenes_2.png,237,244,286,320,148,111,175,203,2,0
data/Training_Dataset/images/Collection+The+gun+rifle+scenes_87.png,Collection+The+gun+rifle+scenes_87.png,102,97,500,209,2,46,258,247,1,1
data/Training_Dataset/images/Collection+The+gun+rifle+scenes_87.png,Collection+The+gun+rifle+scenes_87.png,102,97,500,209,294,0,367,128,2,0
data/Training_Dataset/images/Collection+The+gun+rifle+scenes_87.png,Collection+The+gun+rifle+scenes_87.png,102,97,500,209,0,0,60,126,2,0
data/Training_Dataset/images/Collection+The+gun+rifle+scenes_87.png,Collection+The+gun+rifle+scenes_87.png,102,97,500,209,384,142,500,238,2,0
data/Training_Dataset/images/Collection+The+gun+rifle+scenes_82.png,Collection+The+gun+rifle+scenes_82.png,129,49,588,250,52,18,447,248,1,1
data/Training_Dataset/images/Collection+The+gun+rifle+scenes_61.png,Collection+The+gun+rifle+scenes_61.png,463,173,959,549,452,33,1090,718,1,1
